CONTAS A PAGAR,,,,,DATA ATUAL:,12/11/19,,A PAGAR FUTURO,,,,,,,,,
Data,Histórico,Doc.,Valor,Vcto.,Pagto.,Saldo,,POR DATA,,,,,,,,,
18/02/15,Fornecedor A,101," 1,500.00 ",19/02/15,," 1,500.00 ",,VENCIDAS," 5,150.00 ",,,,,,,,
 ,Fornecedor B,102," 1,250.00 ",23/02/15,," 1,250.00 ",,12/11/19, -   ,,,,,,,,
22/02/15,Fornecedor C,103, 450.00 ,24/02/15,, 450.00 ,,13/11/19, -   ,,,,,,,,
23/02/15,Fornecedor A,104, 580.00 ,28/02/15,, 580.00 ,,14/11/19, -   ,,,,,,,,
24/02/15,Fornecedor B,105, 620.00 ,05/03/15,, 620.00 ,,15/11/19, -   ,,,,,,,,
25/02/15,Fornecedor C,106, 750.00 ,08/03/15,, 750.00 ,,16/11/19, -   ,,,,,,,,
,,,,,, -   ,,17/11/19, -   ,,,,,,,,
,,,,,, -   ,,18/11/19, -   ,,,,,,,,
,,,,,, -   ,,19/11/19, -   ,,,,,,,,
,,,,,, -   ,,20/11/19, -   ,,,,,,,,
,,,,,, -   ,,21/11/19, -   ,,,,,,,,
,,,,,, -   ,,22/11/19, -   ,,,,,,,,
,,,,,, -   ,,23/11/19, -   ,,,,,,,,
,,,,,, -   ,,24/11/19, -   ,,,,,,,,
,,,,,, -   ,,25/11/19, -   ,,,,,,,,
,,,,,, -   ,,26/11/19, -   ,,,,,,,,
,,,,,, -   ,,27/11/19, -   ,,,,,,,,
,,,,,, -   ,,28/11/19, -   ,,,,,,,,
,,,,,, -   ,,29/11/19, -   ,,,,,,,,
,,,,,, -   ,,30/11/19, -   ,,,,,,,,
,,,,,, -   ,,01/12/19, -   ,,,,,,,,
,,,,,, -   ,,02/12/19, -   ,,,,,,,,
,,,,,, -   ,,03/12/19, -   ,,,,,,,,
,,,,,, -   ,,04/12/19, -   ,,,,,,,,
,,,,,, -   ,,05/12/19, -   ,,,,,,,,
,,,,,, -   ,,06/12/19, -   ,,,,,,,,
,,,,,, -   ,,07/12/19, -   ,,,,,,,,
,,,,,, -   ,,08/12/19, -   ,,,,,,,,
,,,,,, -   ,,09/12/19, -   ,,,,,,,,
,,,,,, -   ,,10/12/19, -   ,,,,,,,,
,,,,,, -   ,,11/12/19, -   ,,,,,,,,
,,,,,, -   ,,12/12/19, -   ,,,,,,,,
,,,,,, -   ,,13/12/19, -   ,,,,,,,,
,,,,,, -   ,,14/12/19, -   ,,,,,,,,
,,,,,, -   ,,15/12/19, -   ,,,,,,,,
,,,,,, -   ,,16/12/19, -   ,,,,,,,,
,,,,,, -   ,,17/12/19, -   ,,,,,,,,
,,,,,, -   ,,18/12/19, -   ,,,,,,,,
,,,,,,,,19/12/19, -   ,,,,,,,,
,,,,,, -   ,,20/12/19, -   ,,,,,,,,
,,,,,, -   ,,21/12/19, -   ,,,,,,,,
TOTAL A PAGAR,,,,,," 5,150.00 ",,A VENCER:, -   ,,,,,,,,
